Draveil,48.6852,2.408,28833
Grigny,48.6562,2.3849,28737
Saint-Étienne-du-Rouvray,49.3786,1.105,28641
Guyancourt,48.7714,2.0739,28633
Agde,43.3108,3.4758,28609
Décines-Charpieu,45.7694,4.9594,28602
Bègles,44.8086,-0.5478,28601
Soissons,49.3817,3.3236,28530
Villiers-sur-Marne,48.8275,2.5447,28456
Saint-Laurent-du-Var,43.668,7.188,28453
Bourgoin-Jallieu,45.5861,5.2736,28387
Carpentras,44.0558,5.0489,28309
Bois-Colombes,48.9175,2.2683,28239
Lomme,50.6455,2.9876,28006
Fresnes,48.755,2.3221,27802
Vanves,48.8208,2.2897,27729
Le Chesnay,48.8203,2.1303,27683
Villiers-le-Bel,49.0094,2.3911,27676
Lambersart,50.65,3.025,27649
Romainville,48.884,2.435,27567
Bussy-Saint-Georges,48.8422,2.6983,27379
Limeil-Brévannes,48.7464,2.4883,27228
Tournefeuille,43.5853,1.3442,26962
Saint-Sébastien-sur-Loire,47.2081,-1.5014,26838
Bergerac,44.85,0.48,26833
Montfermeil,48.9,2.5667,26783
Illkirch-Graffenstaden,48.53,7.72,26780
Rambouillet,48.6444,1.8308,26736
Saumur,47.26,-0.0769,26734
Vallauris,43.5805,7.0538,26672
Sannois,48.9722,2.2578,26662
Cavaillon,43.8375,5.0381,26641
Brétigny-sur-Orge,48.6114,2.3059,26528
Sucy-en-Brie,48.7697,2.5228,26472
Miramas,43.5822,5.0019,26470
Taverny,49.0264,2.2275,26441
Orvault,47.2717,-1.6225,26355
Villeparisis,48.9503,2.6025,26322
Saint-Dizier,48.6383,4.9497,26300
Oullins,45.715,4.8083,26273
Lunel,43.6778,4.1361,26239
La Teste-de-Buch,44.62,-1.1457,26078
Hénin-Beaumont,50.4217,2.9508,26022
Gonesse,48.9875,2.4494,25999
Sens,48.1975,3.2877,25935
Vierzon,47.2225,2.0694,25903
Alençon,48.4306,0.0931,25848
Le Grand-Quevilly,49.4072,1.0531,25698
Brunoy,48.6979,2.5044,25669
Gradignan,44.7725,-0.6156,25552
Aurillac,44.9261,2.4406,25499
Saintes,45.7464,-0.6333,25470
Biarritz,43.48,-1.56,25404
Élancourt,48.7847,1.9589,25400
Montbéliard,47.51,6.8,25395
Le Kremlin-Bicêtre,48.81,2.3581,25334
La Garde,43.1256,6.0108,25126
Eaubonne,48.9922,2.2806,25097
Étampes,48.4343,2.1615,25092
Champs-Sur-Marne,48.8529,2.6027,25041
Muret,43.4611,1.3267,24945
Béthune,50.5303,2.6408,24895
Armentières,50.6881,2.8811,24882
Laon,49.5639,3.6244,24876
Libourne,44.92,-0.24,24845
Cenon,44.8578,-0.5317,24729
Fontenay-aux-Roses,48.7893,2.2888,24564
Blagnac,43.6364,1.3906,24517
Vertou,47.1689,-1.4697,24219
Vichy,46.1278,3.4267,24166
Cormeilles-en-Parisis,48.9739,2.2014,24161
Rochefort,45.9421,-0.9588,24151
Rodez,44.3506,2.575,24057
Les Pavillons-sous-Bois,48.9,2.5,23962
